Place,Percent Urban
NATIONAL CAPITAL REGION (NCR),100.0
CORDILLERA ADMINISTRATIVE REGION (CAR),33.3
REGION I (ILOCOS REGION),25.5
REGION II (CAGAYAN VALLEY),19.5
REGION III (CENTRAL LUZON),66.3
REGION IV-A (CALABARZON),70.5
REGION IV-B (MIMAROPA),35.2
REGION V (BICOL REGION),23.8
REGION VI (WESTERN VISAYAS),42.2
REGION VII (CENTRAL VISAYAS),51.9
REGION VIII (EASTERN VISAYAS),14.7
REGION IX (ZAMBOANGA PENINSULA),38.4
REGION X (NORTHERN MINDANAO),50.3
REGION XI (DAVAO REGION),66.8
REGION XII (SOCCSKSARGEN),55.5
REGION XIII (Caraga),36.6
BANGSAMORO AUTONOMOUS REGION IN MUSLIM MINDANAO (BARMM),27.6
